Afrikaans,afr
Amharic,amh
Arabic,ara
Azerbaijani,aze
Belarusian,bel
Bengali,ben
Bosnian,bos
Bulgarian,bul
Cebuano,ceb
Czech,ces
Chinese (simplified),chi_sim
Chinese (traditional),chi_tra
Welsh,cym
Danish,dan
German,deu
Greek,ell
English,eng
Esperanto,epo
Estonian,est
Basque,eus
Persian,fas
Finnish,fin
French,fra
Irish,gle
Galician,glg
Gujarati,guj
Hebrew,heb
Hindi,hin
Croatian,hrv
Hungarian,hun
Indonesian,ind
Icelandic,isl
Italian,ita
Javanese,jav
Japanese,jpn
Kannada,kan
Georgian,kat
Kazakh,kaz
Korean,kor
Lao,lao
Latin,lat
Latvian,lav
Lithuanian,lit
Malayalam,mal
Marathi,mar
Macedonian,mkd
Maltese,mlt
Malay,msa
Nepali,nep
Norwegian,nor
Polish,pol
Portuguese,por
Russian,rus
Slovak,slk
Slovenian,slv
Albanian,sqi
Serbian,srp
Swahili,swa
Swedish,swe
Tamil,tam
Telugu,tel
Tajik,tgk
Thai,tha
Turkish,tur
Ukrainian,ukr
Urdu,urd
Uzbek,uzb
Vietnamese,vie
Yiddish,yid
